 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,5554595,2967332,3013846,2964165,2957225,2992195,2969839,3000595,2961154,2994888,2960437,3042967,2966451,3036130,3073913,2985548,2955812,3104986,2913165,3047262,2952710,2986097,2992638,3198230,2979691,2998540,2925969,3028890,2952652,3076781,3007811,2986154,2956871,3051550,2957416,2983292,2991637,3091741,3031868,2970127,2963710,3000151,3121508,2984297,2961724,2996280,2951421,3081900,2959121,3040444,2988710,3054021,3030260,3015968,3028162,2964102,2979672,3078929,2937662,3051391,3001551,2973199,2992608
1,5554595,0,11080800,3037723,2986083,2979094,3015927,2990185,3022777,2984646,3010606,2983929,3078245,2994786,3056953,3093378,3009233,2979280,3129510,2936321,3076172,2980948,3009782,3016370,3218584,3008121,3022320,2949221,3052861,2979292,3099442,3036433,3004997,2980316,3082083,2980909,3010148,3013746,3125733,3055864,2993691,2982407,3023930,3150922,3007957,2985241,3024830,2974865,3106258,2985809,3067685,3015592,3082980,3039779,3039846,3047316,2987618,3008102,3103259,2956168,3078727,3025332,2996787,3016340
2,2967332,11080800,0,5562353,2953738,2946829,2986419,2957798,2989992,2957135,2977941,2954820,3036950,2957606,3023768,3062990,2981401,2953406,3095486,2907772,3038033,2943929,2977156,2983665,3188315,2970782,2989535,2922111,3024550,2943870,3061063,3001971,2970854,2944894,3042305,2948604,2977563,2981081,3079123,3022719,2961267,2950102,2991145,3118333,2975372,2952895,2987292,2942640,3075707,2956700,3031263,2979770,3044760,3009989,3006900,3014251,2955273,2970763,3069554,2924183,3046940,2992546,2965920,2983635
3,3013846,3037723,5562353,0,9889268,2992951,3029960,3004088,3038440,3004911,3024623,3002596,3081332,3003897,3071179,3106165,3023233,2993136,3148867,2949970,3090462,2989996,3028576,3036795,3235160,3022090,3036385,2962934,3068652,2993133,3112230,3048932,3017367,2990961,3089996,2994781,3024134,3027763,3127429,3079661,3007612,2996280,3039593,3159154,3021942,3003923,3034086,2988706,3123904,3004476,3083524,3034387,3092506,3057120,3053973,3064689,3006301,3017279,3125682,2969913,3089836,3042593,3012322,3030374
4,2964165,2986083,2953738,9889268,0,5501238,2980039,2954647,2988399,2947600,2977958,2951677,3028914,2952857,3022135,3056524,2971834,2942277,3100160,2909479,3033189,2939197,2972383,2983678,3178504,2966017,2984746,2912615,3014935,2939137,3057792,2993977,2970882,2940161,3037456,2947058,2968000,2981099,3074230,3017895,2959709,2945361,2987954,3103818,2975397,2948150,2987300,2945897,3069224,2945567,3026431,2974996,3039907,3001984,3002096,3009435,2950528,2965998,3064673,2919475,3040493,2989355,2959565,2978854
5,2957225,2979094,2946829,2992951,5501238,0,9781806,2949336,2979812,2940707,2967797,2944785,3026614,2945948,3011870,3055765,2969671,2938588,3083336,2897904,3026087,2932319,2968622,2971912,3171057,2959076,2977757,2905802,3007882,2932260,3049045,2986972,2959147,2933284,3030347,2941763,2961052,2969340,3067033,3010833,2952792,2938468,2980965,3101341,2963654,2941250,2975525,2935824,3060445,2938674,3019354,2968039,3037584,2994955,2995073,3002390,2943627,2959057,3057501,2912645,3034983,2983964,2954238,2973479
6,2992195,3015927,2986419,3029960,2980039,9781806,0,5541001,3015047,2981807,3007694,2976295,3059225,2982341,3053937,3091880,3001534,2971653,3121532,2928799,3068330,2968536,3002083,3008656,3210398,2995645,3014590,2944863,3045068,2968478,3086759,3023894,2998912,2969501,3067840,2973274,2997664,3012432,3105011,3048062,2987631,2974773,3019396,3138118,3001865,2977598,3012314,2972041,3103128,2974979,3056670,3004696,3075122,3032008,3032082,3039530,2983174,2995626,3100139,2948598,3072475,3017601,2989121,3011823
7,2969839,2990185,2957798,3004088,2954647,2949336,5541001,0,9981191,2951652,2977252,2950935,3033065,2956918,3027873,3057507,2975918,2946326,3094796,2903887,3038942,2943240,2976467,2982977,3192418,2970094,2993640,2916627,3019067,2943181,3060375,3001281,2970164,2944205,3041616,2947914,2972080,2983588,3086424,3022030,2960577,2949413,2990457,3108056,2974684,2952207,2986602,2941952,3084607,2949619,3035368,2982276,3050465,3007702,3009407,3013562,2954584,2978064,3068866,2923494,3046251,2991857,2963633,2982946
8,3000595,3022777,2989992,3038440,2988399,2979812,3015047,9981191,0,5537771,3009726,2987843,3066179,2989112,3060868,3090902,3013146,2978399,3128630,2935442,3070498,2975274,3008901,3015490,3222498,3005643,3021440,2948342,3055177,2975215,3098562,3035554,3007312,2981033,3074810,2980028,3004474,3014464,3112068,3054985,2992811,2981527,3023051,3142050,3007077,2984360,3019156,2973985,3106975,2981733,3063608,3011514,3077305,3043692,3038964,3046436,2986738,3002428,3105575,2955288,3077847,3029245,2995907,3018656
9,2961154,2984646,2957135,3004911,2947600,2940707,2981807,2951652,5537771,0,9795373,2945495,3029022,2953058,3019060,3053407,2973609,2940892,3089011,2898558,3031695,2937815,2970962,2983847,3192817,2964604,2984907,2917658,3016662,2937756,3059471,2992532,2969469,2938780,3035960,2942474,2969779,2974879,3072690,3016421,2955112,2943972,2984919,3102239,2969186,2946758,2981074,2936527,3067691,2944178,3024949,2973576,3041602,3000528,3003837,3007969,2949135,2964586,3066340,2918117,3035803,2986320,2958160,2982219
10,2994888,3010606,2977941,3024623,2977958,2967797,3007694,2977252,3009726,9795373,0,5526702,3053852,2980256,3043782,3086480,2999425,2966384,3116087,2923582,3058159,2963271,2999974,3009735,3206447,2990348,3009269,2939631,3046106,2963212,3081357,3018566,2993615,2964236,3062459,2972795,2992363,3000732,3104379,3042705,2980748,2969500,3010879,3129460,2994966,2972321,3006997,2966777,3092917,2969706,3051306,2999392,3064943,3026668,3026745,3034181,2974699,2990329,3094727,2943358,3062300,3015476,2985431,3003313
11,2960437,2983929,2954820,3002596,2951677,2944785,2976295,2950935,2987843,2945495,5526702,0,10112269,2950743,3016745,3051092,2969697,2940175,3091490,2897841,3030978,2945088,2970246,2986326,3182512,2963889,2982592,2913745,3014347,2937039,3053960,2991815,2963959,2938063,3043232,2941756,2969062,2974162,3071973,3015706,2954396,2946451,2984202,3101522,2968469,2949236,2980356,2935810,3070170,2946657,3029026,2972858,3037689,2999810,2999924,3007252,2951614,2963868,3062428,2917400,3039877,2985605,2957444,2981502
12,3042967,3078245,3036950,3081332,3028914,3026614,3059225,3033065,3066179,3029022,3053852,10112269,0,5586842,3100875,3136223,3052426,3022005,3174524,2978371,3115508,3018829,3052975,3059668,3266548,3046417,3065723,2991479,3096680,3018769,3139090,3079939,3046488,3019793,3121470,3023686,3048496,3060188,3165692,3099734,3036625,3025185,3067332,3196142,3060687,3028071,3063386,3017540,3154102,3026992,3108463,3055588,3122420,3093028,3083455,3095876,3030448,3046398,3147857,2998530,3126106,3073528,3039773,3059638
13,2966451,2994786,2957606,3003897,2952857,2945948,2982341,2956918,2989112,2953058,2980256,2950743,5586842,0,10295039,3057314,2975726,2946133,3094604,2903695,3041946,2943049,2976275,2982784,3182638,2977892,2991850,2916435,3018875,2942989,3064976,2997894,2973169,2944013,3041424,2947724,2971888,2980200,3078242,3021838,2960385,2949221,2990264,3120648,2974491,2956808,2986411,2941759,3071630,2952623,3030382,2983682,3043879,3005913,3012410,3013370,2954392,2982666,3071869,2923302,3042863,2991665,2966637,2982754
14,3036130,3056953,3023768,3071179,3022135,3011870,3053937,3027873,3060868,3019060,3043782,3016745,3100875,10295039,0,5684388,3042368,3012055,3164046,2973371,3105234,3008891,3047711,3049586,3254161,3036383,3057214,2981637,3091272,3008832,3128745,3065015,3041248,3009856,3109587,3015323,3041647,3046922,3147285,3095912,3028226,3015223,3057226,3184018,3041053,3018096,3053293,3007601,3148503,3015429,3103018,3050325,3112121,3073274,3074898,3084089,3020474,3036365,3137475,2988664,3109427,3058627,3036155,3052752
15,3073913,3093378,3062990,3106165,3056524,3055765,3091880,3057507,3090902,3053407,3086480,3051092,3136223,3057314,5684388,0,10350978,3055952,3204907,3002365,3140621,3043157,3079182,3090727,3296061,3070971,3090443,3015585,3129618,3046294,3164371,3112706,3075837,3044122,3145013,3049669,3073077,3081630,3186348,3129501,3069087,3049571,3092053,3213853,3080476,3052484,3088080,3041868,3176299,3049776,3135090,3081796,3147589,3108302,3111486,3122391,3059657,3070951,3176419,3027485,3151246,3098248,3064270,3084303
16,2985548,3009233,2981401,3023233,2971834,2969671,3001534,2975918,3013146,2973609,2999425,2969697,3052426,2975726,3042368,10350978,0,5519384,3114589,2927107,3056729,2969943,2997019,3001977,3204845,2988998,3007895,2947932,3039906,2961894,3079903,3017182,2989070,2967712,3064221,2966675,2995803,2999369,3098107,3041295,2979410,2968174,3014299,3127946,2993612,2970992,3005627,2960664,3091447,2968380,3049887,2998033,3063506,3025273,3025356,3034377,2973369,2988979,3093260,2942063,3060867,3014102,2982490,3001947
17,2955812,2979280,2953406,2993136,2942277,2938588,2971653,2946326,2978399,2940892,2966384,2940175,3022005,2946133,3012055,3055952,5519384,0,10185948,2893295,3026272,2932504,2965611,2972096,3177634,2959262,2977942,2905987,3008067,2935641,3054024,2990353,2959332,2933469,3032130,2938752,2961236,2972720,3072013,3014214,2949781,2941849,2981151,3099930,2963839,2941434,2978906,2931215,3060631,2938861,3019538,2973019,3039367,2995140,3000054,3002574,2948606,2962438,3057685,2920820,3030374,2980953,2952825,2972066
18,3104986,3129510,3095486,3148867,3100160,3083336,3121532,3094796,3128630,3089011,3116087,3091490,3174524,3094604,3164046,3204907,3114589,10185948,0,5600257,3180566,3080271,3115138,3125172,3333103,3108437,3128173,3052347,3159706,3080212,3202981,3139338,3108507,3081237,3183403,3085273,3110588,3122424,3223623,3167627,3100026,3093165,3129783,3254721,3113190,3092925,3130560,3078982,3215087,3090175,3171707,3117752,3190817,3146252,3166968,3154037,3093705,3111613,3215160,3059541,3188039,3132783,3101648,3121945
19,2913165,2936321,2907772,2949970,2909479,2897904,2928799,2903887,2935442,2898558,2923582,2897841,2978371,2903695,2973371,3002365,2927107,2893295,5600257,0,10167944,2893470,2924459,2929242,3130115,2916616,2934984,2864174,2964693,2890215,3005232,2944095,2916686,2891240,2986794,2894820,2918538,2926723,3022908,2967592,2907291,2896319,2936594,3051954,2922739,2900646,2936000,2888985,3019620,2896525,2979205,2925474,2993979,2951922,2952092,2959252,2903024,2916596,3018325,2870912,2994626,2944387,2910284,2929212
20,3047262,3076172,3038033,3090462,3033189,3026087,3068330,3038942,3070498,3031695,3058159,3030978,3115508,3041946,3105234,3140621,3056729,3026272,3180566,10167944,0,5581972,3057278,3063979,3269497,3053908,3070041,2995710,3101030,3027826,3143489,3079472,3050783,3024056,3129045,3027958,3052795,3061299,3165322,3104089,3042506,3032652,3071652,3192613,3055398,3037139,3072495,3021802,3156919,3034458,3116021,3063088,3126802,3087780,3095779,3097027,3034723,3050694,3152268,3002769,3124092,3077847,3044060,3067145
21,2952710,2980948,2943929,2989996,2939197,2932319,2968536,2943240,2975274,2937815,2963271,2945088,3018829,2943049,3008891,3043157,2969943,2932504,3080271,2893470,5581972,0,10364646,2968979,3167889,2959356,2974817,2902950,3004910,2929376,3046025,2984024,2956231,2930400,3027349,2938871,2958131,2966411,3063989,3007858,2946692,2937175,2976427,3093468,2965528,2938353,2977383,2932940,3057409,2938978,3021165,2965116,3029786,2999985,2996911,3001019,2940731,2956142,3062458,2909785,3030385,2977828,2952928,2972145
22,2986097,3009782,2977156,3028576,2972383,2968622,3002083,2976467,3008901,2970962,2999974,2970246,3052975,2976275,3047711,3079182,2997019,2965611,3115138,2924459,3057278,10364646,0,5557290,3206993,2995939,3010042,2937295,3043651,2965640,3082051,3020927,2991217,2968261,3069564,2967225,2991558,3003114,3100254,3043442,2984753,2968723,3010054,3128494,2994161,2971540,3006176,2961213,3091996,2972125,3055231,2998582,3067250,3025823,3030701,3033329,2975516,2991126,3089015,2945808,3063014,3011455,2987834,3002497
23,2992638,3016370,2983665,3036795,2983678,2971912,3008656,2982977,3015490,2983847,3009735,2986326,3059668,2982784,3049586,3090727,3001977,2972096,3125172,2929242,3063979,2968979,5557290,0,10083390,2996090,3015033,2943708,3045511,2976910,3087201,3024338,2996159,2969944,3068283,2980109,2998108,3011278,3107052,3054897,2986477,2975216,3016644,3143353,3000711,2978041,3012757,2967690,3098777,2975423,3065105,3009935,3075564,3032452,3032525,3043170,2982017,2996069,3100585,2949041,3068124,3021240,2992760,3009069
24,3198230,3218584,3188315,3235160,3178504,3171057,3210398,3192418,3222498,3192817,3206447,3182512,3266548,3182638,3254161,3296061,3204845,3177634,3333103,3130115,3269497,3167889,3206993,10083390,0,5750571,3218845,3142329,3249613,3167831,3294137,3230220,3198556,3168854,3274038,3173100,3200740,3207989,3313803,3252843,3186566,3174598,3218858,3350631,3208136,3179257,3214736,3169796,3306656,3178001,3263521,3206409,3279957,3235846,3238880,3243839,3180037,3196867,3303430,3151329,3273878,3221856,3189890,3210811
25,2979691,3008121,2970782,3022090,2966017,2959076,2995645,2970094,3005643,2964604,2990348,2963889,3046417,2977892,3036383,3070971,2988998,2959262,3108437,2916616,3053908,2959356,2995939,2996090,5750571,0,9821648,2932615,3033937,2964091,3078633,3011263,2983212,2957125,3055000,2965660,2986742,3003076,3091994,3040112,2973578,2962365,3003601,3121760,2987747,2965174,3004525,2954871,3085350,2962573,3048689,2995357,3062266,3019328,3019419,3026818,2972346,2986318,3085573,2941112,3059636,3005002,2979846,2996058
