 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,14421257,4146861,6674757,4213086,4162444,4215871,4196307,4169527,4224690,4193810,4201333,4296109,4236226,4240593,4155790
1,14421257,0,14348373,6683519,4188713,4109737,4174055,4197517,4217178,4173143,4148777,4180246,4234688,4214786,4198711,4150853
2,4146861,14348373,0,16814257,4160802,4068098,4135182,4169647,4138321,4181989,4148219,4186042,4193564,4210443,4135755,4084988
3,6674757,6683519,16814257,0,16903563,6547951,6618066,6722646,6662070,6705546,6702337,6664376,6795247,6739305,6677324,6596827
4,4213086,4188713,4160802,16903563,0,14368503,4167419,4184547,4205754,4192143,4166117,4203994,4250638,4232313,4203288,4193691
5,4162444,4109737,4068098,6547951,14368503,0,14346215,4140578,4110946,4148106,4106465,4110707,4176974,4179495,4122717,4092917
6,4215871,4174055,4135182,6618066,4167419,14346215,0,14382666,4149597,4182212,4169089,4178174,4253201,4218921,4159876,4164847
7,4196307,4197517,4169647,6722646,4184547,4140578,14382666,0,14397024,4192949,4184524,4212806,4272166,4228281,4207301,4178560
8,4169527,4217178,4138321,6662070,4205754,4110946,4149597,14397024,0,14380631,4165863,4146189,4269214,4254107,4167840,4139224
9,4224690,4173143,4181989,6705546,4192143,4148106,4182212,4192949,14380631,0,14430485,4194826,4247851,4258294,4198901,4165335
10,4193810,4148777,4148219,6702337,4166117,4106465,4169089,4184524,4165863,14430485,0,14397675,4261545,4249627,4184128,4137934
11,4201333,4180246,4186042,6664376,4203994,4110707,4178174,4212806,4146189,4194826,14397675,0,14435572,4292346,4172450,4135815
12,4296109,4234688,4193564,6795247,4250638,4176974,4253201,4272166,4269214,4247851,4261545,14435572,0,14504566,4255661,4202531
13,4236226,4214786,4210443,6739305,4232313,4179495,4218921,4228281,4254107,4258294,4249627,4292346,14504566,0,14442177,4197034
14,4240593,4198711,4135755,6677324,4203288,4122717,4159876,4207301,4167840,4198901,4184128,4172450,4255661,14442177,0,14376651
15,4155790,4150853,4084988,6596827,4193691,4092917,4164847,4178560,4139224,4165335,4137934,4135815,4202531,4197034,14376651,0
