 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,8357011,8659649,9539434,8581136,8571549,8414416,8541160,8453922,8483254,8562113,8425341,8512503,8511983,8436276,8289387,8366578,8571213,8424649,8415280,8386546,8835329,8346907,8366305,8405057,8368166,8405416,8484630,8503665,8728049,8963048,8406809
1,8357011,0,3007051,3309756,2979834,2976659,2922118,2965506,2935976,2946072,2973635,2926631,2956085,2955565,2931154,2880445,2906340,2976323,2925939,2922982,2913484,3067315,2899493,2906067,2919171,2907928,2919530,2947448,2953659,3030567,3111678,2920923
2,8659649,3007051,0,3428626,3086552,3083253,3026728,3071728,3041082,3051550,3080105,3031365,3061935,3061415,3036012,2983443,3010330,3082917,3030673,3027592,3017722,3177257,3003235,3010057,3023657,3011918,3024016,3052926,3059385,3139145,3223232,3025409
3,9539434,3309756,3428626,0,3397537,3393878,3331593,3381273,3347387,3358935,3390370,3336590,3370400,3369880,3341597,3283628,3313395,3393542,3335898,3332457,3321507,3497602,3305580,3313122,3328162,3314983,3328521,3360311,3367490,3455530,3548257,3329914
4,8581136,2979834,3086552,3397537,0,3055332,2999319,3043903,3013545,3023917,3052216,3003924,3034206,3033686,3008539,2956450,2983081,3054996,3003232,3000183,2990409,3148472,2976050,2982808,2996280,2984669,2996639,3025293,3031688,3110712,3194031,2998032
5,8571549,2976659,3083253,3393878,3055332,0,2996120,3040652,3010330,3020690,3048957,3000721,3030967,3030447,3005332,2953303,2979902,3051733,3000029,2996984,2987222,3145101,2972879,2979629,2993085,2981490,2993444,3022066,3028453,3107385,3190608,2994837
6,8414416,2922118,3026728,3331593,2999319,2996120,0,2984895,2955149,2965317,2993072,2945732,2975402,2974882,2950279,2899210,2925297,2995784,2945040,2942059,2932489,3087424,2918402,2925024,2938224,2926885,2938583,2966693,2972952,3050412,3132099,2939976
7,8541160,2965506,3071728,3381273,3043903,3040652,2984895,0,2999057,3009381,3037552,2989484,3019622,3019102,2994083,2942234,2968737,3040316,2988792,2985759,2976033,3133360,2961738,2968464,2981872,2970325,2982231,3010757,3017120,3095776,3178711,2983624
8,8453922,2935976,3041082,3347387,3013545,3010330,2955149,2999057,0,2979383,3007266,2959702,2989516,2988996,2964265,2912956,2939171,3009994,2959010,2956013,2946395,3102066,2932244,2938898,2952162,2940759,2952521,2980759,2987050,3064878,3146949,2953914
9,8483254,2946072,3051550,3358935,3023917,3020690,2965317,3009381,2979383,0,3017614,2969882,2999804,2999284,2974457,2922968,2949279,3020354,2969190,2966181,2956527,3112750,2942328,2949006,2962318,2950867,2962677,2991011,2997326,3075430,3157789,2964070
10,8562113,2973635,3080105,3390370,3052216,3048957,2993072,3037552,3007266,3017614,0,2997669,3027879,3027359,3002276,2950307,2976874,3048621,2996977,2993936,2984186,3141881,2969859,2976601,2990041,2978462,2990400,3018990,3025369,3104209,3187336,2991793
11,8425341,2926631,3031365,3336590,3003924,3000721,2945732,2989484,2959702,2969882,2997669,0,2979979,2979459,2954824,2903695,2929814,3000385,2949581,2946596,2937014,3092133,2922911,2929541,2942757,2931402,2943116,2971258,2977525,3055077,3136860,2944509
