 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,0,1487353,1489562,1505668,1469972,1459316,1486176,1472150,1485532,1500787,1473623,1473360,1477886,1474042,1468905,1476638,1483424,1460843,1474654,1459790,1497883,1498248,1484453,1473717,1469013,1500651,1474118,1491740,1477421,1487248,1489041,1499503,1492532,1479487,1479542,1485226,1477346,1494600,1475584,1502496,1486212,1482424,1501350,1489498,1468111,1455415,1494404,1490683,1475202,1503339,1487418,1472658,1488892,1474777,1463540,1475195,1475911,1459614,1457278,1467559,1497163,1491535,1490052,1477806,1495493,1461083,1460102,1490203,1504618,1483589,1488703,1492063
1,1487353,0,1511924,1524954,1488862,1478050,1506836,1491102,1504550,1521645,1494089,1497080,1496892,1491354,1487789,1495592,1502458,1479577,1488736,1476934,1517087,1517448,1503471,1492631,1487831,1521533,1493010,1510932,1497965,1506356,1508162,1517133,1511700,1498449,1500114,1499360,1494714,1513808,1494544,1516872,1505304,1501429,1523830,1508586,1486923,1474123,1516795,1509817,1494116,1519411,1506520,1491580,1504776,1493663,1485524,1494137,1494847,1478292,1475992,1486390,1516415,1505851,1509118,1496758,1513067,1481431,1478854,1509345,1523910,1502659,1506209,1511165
2,1489562,1511924,0,4082492,1491075,1481841,1507455,1493325,1506763,1525478,1496284,1494495,1499117,1495161,1490000,1496207,1504671,1481770,1490939,1477537,1520912,1519679,1505684,1494836,1490020,1522178,1495213,1513171,1498572,1508583,1516784,1519368,1513931,1500654,1500725,1501559,1498529,1516047,1496759,1519093,1507531,1503638,1522877,1510801,1489126,1476318,1515834,1512042,1496322,1521654,1508745,1493793,1506999,1495864,1484523,1497944,1498652,1480477,1478189,1488589,1521854,1508084,1511331,1498965,1515294,1482026,1482651,1511578,1526145,1504884,1508440,1514988
3,1505668,1524954,4082492,0,2520601,1497891,1523897,1510935,1523169,1538886,1511062,1510733,1516833,1517748,1506080,1517231,1521121,1497820,1507167,1493439,1539131,1536203,1522090,1511126,1506386,1538678,1511485,1529503,1514950,1524939,1526696,1537482,1531965,1517076,1518693,1519613,1513109,1534022,1512963,1535747,1523843,1520096,1539377,1527357,1508375,1493852,1532262,1528512,1515807,1538110,1525127,1513131,1523363,1512162,1500679,1512628,1513362,1496543,1495697,1504781,1535070,1524318,1527869,1516915,1531826,1501316,1501819,1527900,1546033,1521178,1526298,1529772
4,1469972,1488862,1491075,2520601,0,1462403,1487649,1473667,1487005,1502260,1475084,1474845,1479395,1473933,1472004,1476529,1484893,1462332,1471341,1458103,1502544,1499725,1485926,1475195,1470470,1502140,1475595,1493241,1478890,1488737,1490538,1500984,1497213,1480952,1481015,1485085,1477245,1496097,1477077,1499159,1487705,1483889,1506035,1490959,1469608,1456916,1497490,1493758,1476679,1501636,1488903,1474155,1487181,1481044,1466619,1479872,1477389,1459497,1458783,1469039,1498660,1488246,1491513,1479279,1495368,1465764,1461603,1491700,1510877,1486680,1488606,1493549
5,1459316,1478050,1481841,1497891,1462403,0,1476921,1462947,1476301,1491424,1464476,1464177,1468655,1463270,1459742,1465841,1474185,1451764,1460706,1447507,1488552,1488917,1476820,1464542,1459894,1491272,1464955,1482409,1469828,1484357,1479750,1488558,1483217,1470288,1471933,1474449,1466541,1485261,1466381,1488391,1478535,1474798,1491971,1480231,1458988,1446348,1485072,1481388,1469223,1490772,1479737,1465073,1478027,1465618,1456031,1466004,1466724,1452165,1448207,1458427,1487800,1477454,1480797,1468611,1484580,1453594,1451011,1480900,1500033,1475924,1477822,1482784
6,1486176,1506836,1507455,1523897,1487649,1476921,0,1489831,1503465,1520538,1491472,1491157,1498847,1490209,1486594,1494443,1501389,1478448,1487629,1475717,1517618,1516329,1502386,1497930,1491628,1521952,1491919,1509709,1498502,1505193,1506962,1515994,1510549,1499002,1499033,1498353,1493529,1512601,1493377,1515844,1504125,1500380,1519455,1507547,1485753,1472944,1514026,1508704,1493023,1523010,1506973,1490399,1506830,1492592,1481229,1493024,1500144,1475605,1474796,1485288,1515204,1504618,1509679,1495679,1515164,1478720,1477671,1508144,1524433,1501482,1506592,1511619
7,1472150,1491102,1493325,1510935,1473667,1462947,1489831,0,4046166,1504478,1477216,1478615,1481611,1476107,1472590,1480309,1487065,1464474,1473499,1460271,1503144,1506731,1489698,1477354,1472588,1505980,1477751,1495481,1481046,1490947,1492760,1501608,1496233,1486302,1483181,1484027,1479439,1498335,1479265,1501341,1489917,1486050,1505081,1493131,1471774,1459068,1498118,1494360,1478839,1503881,1492705,1476341,1490979,1478400,1467163,1478846,1479552,1461619,1460941,1471189,1500906,1490476,1496877,1484637,1497570,1464708,1463763,1493926,1508297,1487290,1490830,1497350
8,1485532,1504550,1506763,1523169,1487005,1476301,1503465,4046166,0,1518220,1490820,1490501,1494987,1489557,1485950,1493783,1500709,1481024,1486981,1473503,1516906,1517219,1501710,1492480,1486191,1519634,1491267,1509009,1497839,1506103,1506274,1518478,1511447,1498335,1496767,1497689,1494467,1511897,1492717,1515135,1503441,1499704,1518736,1508453,1486718,1472332,1511724,1508008,1492367,1519098,1507883,1491345,1504547,1491938,1483793,1492364,1493092,1474995,1474183,1484647,1517688,1503934,1507393,1495015,1512862,1478096,1477051,1507452,1522107,1503998,1504310,1512528
9,1500787,1521645,1525478,1538886,1502260,1491424,1520538,1504478,1518220,0,1506119,1509018,1510352,1504856,1501205,1507528,1519359,1492951,1505454,1488604,1530937,1531228,1520339,1506203,1501445,1533709,1511360,1524572,1510007,1520002,1521771,1530911,1525412,1513722,1512154,1513055,1508212,1527482,1511256,1530742,1522112,1515135,1537604,1522375,1500309,1487411,1527309,1526745,1507688,1534749,1520184,1508242,1521621,1507237,1495786,1507707,1508435,1491670,1489262,1499880,1533318,1519409,1522890,1510380,1526850,1493241,1492174,1522971,1537824,1517853,1519785,1526427
