 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,33904712,439824,1444752,131169476,5364672,366520,372064,401016,458920,536536,4926272,48390698,1375760,375760,37109128
1,33904712,0,33969098,474354,5404712,147930958,5390915,396828,427707,489465,572247,454644,1406026,38650770,1400770,383031
2,439824,33969098,0,34015508,439824,5422688,147966844,5431256,464814,531930,621894,494088,441252,1435540,38685540,1416262
3,1444752,474354,34015508,0,30694752,427424,5429590,147978102,4970022,537890,628862,499624,446196,440420,1440420,38670926
4,131169476,5404712,439824,30694752,0,37864672,366520,4872064,79431036,2958920,536536,426272,380688,375760,375760,1359128
5,5364672,147930958,5422688,427424,37864672,0,37852240,357568,2885392,74212047,3015632,409664,365856,361120,361120,345136
6,366520,5390915,147966844,5429590,366520,37852240,0,37859380,387345,2943275,74289252,2911740,367710,362950,362950,346885
7,372064,396828,5431256,147978102,4872064,357568,37859380,0,34143204,449980,3026084,74188975,2623272,368440,368440,352132
8,401016,427707,464814,4970022,79431036,2885392,387345,34143204,0,37984995,567021,2700492,135197343,5397110,397110,379533
9,458920,489465,531930,537890,2958920,74212047,2943275,449980,37984995,0,38148895,515540,5460410,147996464,5454450,434335
10,536536,572247,621894,628862,536536,3015632,74289252,3026084,567021,38148895,0,38102732,538278,5531310,148073324,5507793
11,4926272,454644,494088,499624,426272,409664,2911740,74188975,2700492,515540,38102732,0,34177656,422120,5422120,147945450
12,48390698,1406026,441252,446196,380688,365856,367710,2623272,135197343,5460410,538278,34177656,0,41376980,376980,4860294
13,1375760,38650770,1435540,440420,375760,361120,362950,368440,5397110,147996464,5531310,422120,41376980,0,41372100,355630
14,375760,1400770,38685540,1440420,375760,361120,362950,368440,397110,5454450,148073324,5422120,376980,41372100,0,41355630
15,37109128,383031,1416262,38670926,1359128,345136,346885,352132,379533,434335,5507793,147945450,4860294,355630,41355630,0
