 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,44325897,325897,338195,346580,356642,25865027,1575338,319748,308009,303537,302419,302978,303537,309686,309686,313040,310245,320866,348816,472355,336518,415896,314158,314158,1563040,32801860,1560804,293475,290680,288444,20290680
1,44325897,0,44339889,352715,361460,371954,1630699,32839306,1583476,321233,316569,315403,315986,316569,322982,322982,326480,323565,334642,363792,492635,350966,433752,327646,327646,326480,1564820,32824148,1556075,303160,300828,303160
2,325897,44339889,0,44352715,361460,371954,380699,1589306,32833476,1571233,316569,315403,315986,316569,322982,322982,326480,323565,334642,363792,492635,350966,433752,327646,327646,326480,314820,1574148,32806075,1553160,300828,303160
3,338195,352715,44352715,0,24375100,385990,395065,352110,1596060,32833355,1578515,327305,327910,328515,335170,335170,338800,335775,347270,377520,511225,364210,450120,340010,340010,338800,326700,336380,1567625,25814600,312180,314600
4,346580,361460,361460,24375100,0,24395560,404860,360840,354640,1591620,32836660,1585420,336040,336660,343480,343480,347200,344100,355880,386880,523900,373240,461280,348440,348440,347200,334800,344720,325500,322400,319920,322400
5,356642,371954,371954,385990,24395560,0,416614,371316,364936,351538,1596434,25845158,345796,346434,353452,353452,357280,354090,366212,398112,539110,384076,474672,358556,358556,357280,344520,354728,334950,331760,329208,331760
6,25865027,1630699,380699,395065,404860,416614,0,30380046,373516,359803,354579,353273,25853926,1604579,361762,361762,365680,362415,374822,407472,551785,393106,485832,366986,366986,365680,352620,363068,342825,339560,336948,339560
7,1575338,32839306,1589306,352110,360840,371316,30380046,0,30332904,320682,316026,314862,1565444,32816026,1572428,322428,325920,323010,334068,363168,491790,350364,433008,327084,327084,325920,314280,323592,305550,302640,300312,302640
8,319748,1583476,32833476,1596060,354640,364936,373516,30332904,0,30315172,310596,309452,310024,1560596,32816888,1566888,320320,317460,328328,356928,483340,344344,425568,321464,321464,320320,308880,318032,300300,297440,295152,297440
9,308009,321233,1571233,32833355,1591620,351538,359803,320682,30315172,0,30299193,298091,298642,299193,1555254,32805254,1558560,305805,316274,343824,465595,331702,409944,309662,309662,308560,297540,306356,289275,286520,284316,286520
10,303537,316569,316569,1578515,32836660,1596434,354579,316026,310596,30299193,0,30293763,294306,294849,300822,1550822,32804080,1551365,311682,338832,458835,326886,403992,305166,305166,304080,293220,301908,285075,282360,280188,282360
11,302419,315403,315403,327305,1585420,25845158,353273,314862,309452,298091,30293763,0,293222,293763,299714,299714,1552960,25800255,310534,337584,457145,325682,402504,304042,304042,302960,292140,300796,284025,281320,279156,281320
12,302978,315986,315986,327910,336040,345796,25853926,1565444,310024,298642,294306,293222,0,30294306,300268,300268,303520,300810,25811108,1588208,457990,326284,403248,304604,304604,303520,292680,301352,284550,281840,279672,281840
13,303537,316569,316569,328515,336660,346434,1604579,32816026,1560596,299193,294849,293763,30294306,0,30300822,300822,304080,301365,1561682,32838832,1708835,326886,403992,305166,305166,304080,293220,301908,285075,282360,280188,282360
14,309686,322982,322982,335170,343480,353452,361762,1572428,32816888,1555254,300822,299714,300268,30300822,0,30306916,310240,307470,317996,1595696,32968130,1583508,412176,311348,311348,310240,299160,308024,290850,288080,285864,288080
15,309686,322982,322982,335170,343480,353452,361762,322428,1566888,32805254,1550822,299714,300268,300822,30306916,0,30310240,307470,317996,345696,1718130,32833508,1662176,311348,311348,310240,299160,308024,290850,288080,285864,288080
16,313040,326480,326480,338800,347200,357280,365680,325920,320320,1558560,32804080,1552960,303520,304080,310240,30310240,0,30310800,321440,349440,473200,1587120,32916640,1564720,314720,313600,302400,311360,294000,291200,288960,291200
17,310245,323565,323565,335775,344100,354090,362415,323010,317460,305805,1551365,25800255,300810,301365,307470,307470,30310800,0,318570,346320,468975,334110,1662920,25811910,311910,310800,299700,308580,291375,288600,286380,288600
18,320866,334642,334642,347270,355880,366212,374822,334068,328328,316274,311682,310534,25811108,1561682,317996,317996,321440,318570,0,30358176,485030,345548,427056,322588,25822588,1571440,309960,319144,301350,298480,296184,298480
19,348816,363792,363792,377520,386880,398112,407472,363168,356928,343824,338832,337584,1588208,32838832,1595696,345696,349440,346320,30358176,0,30527280,375648,464256,350688,1600688,32849440,1586960,346944,327600,324480,321984,324480
20,472355,492635,492635,511225,523900,539110,551785,491790,483340,465595,458835,457145,457990,1708835,32968130,1718130,473200,468975,485030,30527280,0,30508690,628680,474890,474890,1723200,32956300,1719820,443625,439400,436020,439400
21,336518,350966,350966,364210,373240,384076,393106,350364,344344,331702,326886,325682,326284,326886,1583508,32833508,1587120,334110,345548,375648,30508690,0,30447888,338324,338324,337120,1575080,32834712,1566050,313040,310632,313040
22,415896,433752,433752,450120,461280,474672,485832,433008,425568,409944,403992,402504,403248,403992,412176,1662176,32916640,1662920,427056,464256,628680,30447888,0,30418128,418128,416640,401760,1663664,32890600,1636880,383904,386880
23,314158,327646,327646,340010,348440,358556,366986,327084,321464,309662,305166,304042,304604,305166,311348,311348,1564720,25811910,322588,350688,474890,338324,30418128,0,315844,314720,303480,312472,1545050,25792240,289992,292240
24,314158,327646,327646,340010,348440,358556,366986,327084,321464,309662,305166,304042,304604,305166,311348,311348,314720,311910,25822588,1600688,474890,338324,418128,315844,0,30314720,303480,312472,295050,292240,25789992,1542240
25,1563040,326480,326480,338800,347200,357280,365680,325920,320320,308560,304080,302960,303520,304080,310240,310240,313600,310800,1571440,32849440,1723200,337120,416640,314720,30314720,0,30302400,311360,294000,291200,1538960,32791200
26,32801860,1564820,314820,326700,334800,344520,352620,314280,308880,297540,293220,292140,292680,293220,299160,299160,302400,299700,309960,1586960,32956300,1575080,401760,303480,303480,30302400,0,30300240,283500,280800,278640,1530800
