 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,0,29800852,320032,329348,327704,351816,364968,5315100,104349666,11303044,297016,305236,294824,292084,294276,297016,306332,314552,327156,370448,453744,360036,320032,315100,302496,293180,293728,286604,278932,278932,278932,278932,282220,282220,278932,278932,278932,278932,278932,278932,282220,282220,278932,278932,278932,278932,278932,278932,282220,282220,278932,278932,278932,278932,278932,2778932,66057235,7782220,278932,278932,278932,278932,278932,12778932
1,29800852,0,17320616,329949,328302,352458,365634,315675,11316224,110087615,6297558,305793,295362,292617,294813,297558,306891,315126,327753,371124,454572,360693,320616,315675,303048,293715,294264,287127,279441,279441,279441,279441,282735,282735,279441,279441,279441,279441,279441,279441,282735,282735,279441,279441,279441,279441,279441,279441,282735,282735,279441,279441,279441,279441,279441,279441,7782735,76308747,5279441,279441,279441,279441,279441,279441
2,320032,17320616,0,17350984,349232,374928,388944,335800,336384,6322952,73084534,6325288,314192,311272,313608,316528,326456,335216,348648,394784,483552,383688,341056,335800,322368,312440,313024,305432,297256,297256,297256,297256,300760,300760,297256,297256,297256,297256,297256,297256,300760,300760,297256,297256,297256,297256,297256,297256,300760,300760,297256,297256,297256,297256,297256,297256,300760,5300760,57815262,5297256,297256,297256,297256,297256
3,329348,329949,17350984,0,17359398,385842,400266,345575,346176,332353,6325742,73102763,6323338,320333,322737,325742,335959,344974,358797,406276,497628,394857,350984,345575,331752,321535,322136,314323,305909,305909,305909,305909,309515,309515,305909,305909,305909,305909,305909,305909,309515,309515,305909,305909,305909,305909,305909,305909,309515,309515,305909,305909,305909,305909,305909,305909,309515,309515,5305909,57823915,5305909,305909,305909,305909
4,327704,328302,349232,17359398,0,17383916,398268,343850,344448,330694,324116,6333086,73089730,6318734,321126,324116,334282,343252,357006,404248,495144,392886,349232,343850,330096,319930,320528,312754,304382,304382,304382,304382,307970,307970,304382,304382,304382,304382,304382,304382,307970,307970,304382,304382,304382,304382,304382,304382,307970,307970,304382,304382,304382,304382,304382,304382,307970,307970,304382,5304382,57822388,5304382,304382,304382
5,351816,352458,374928,385842,17383916,0,17427572,369150,369792,355026,347964,357594,6345396,73110192,6344754,347964,358878,368508,383274,433992,531576,421794,374928,369150,354384,343470,344112,335766,326778,326778,326778,326778,330630,330630,326778,326778,326778,326778,326778,326778,330630,330630,326778,326778,326778,326778,326778,326778,330630,330630,326778,326778,326778,326778,326778,326778,330630,330630,326778,326778,5326778,57844784,5326778,326778
6,364968,365634,388944,400266,398268,17427572,0,17382950,383616,368298,360972,370962,358308,6354978,73125648,6360972,372294,382284,397602,450216,551448,437562,388944,382950,367632,356310,356976,348318,338994,338994,338994,338994,342990,342990,338994,338994,338994,338994,338994,338994,342990,342990,338994,338994,338994,338994,338994,338994,342990,342990,338994,338994,338994,338994,338994,338994,342990,342990,338994,338994,338994,5338994,57857000,5338994
7,5315100,315675,335800,345575,343850,369150,17382950,0,17331200,317975,311650,320275,309350,306475,6308775,73079656,6321425,330050,343275,388700,476100,377775,335800,330625,317400,307625,308200,300725,292675,292675,292675,292675,296125,296125,292675,292675,292675,292675,292675,292675,296125,296125,292675,292675,292675,292675,292675,292675,296125,296125,292675,292675,292675,292675,292675,292675,296125,296125,292675,292675,292675,292675,5292675,57810681
8,104349666,11316224,336384,346176,344448,369792,383616,17331200,0,39818528,312192,320832,309888,307008,309312,6312192,91597996,8830624,343872,389376,476928,378432,336384,331200,317952,308160,308736,301248,293184,293184,293184,293184,296640,296640,293184,293184,293184,293184,293184,293184,296640,296640,293184,293184,293184,293184,293184,293184,296640,296640,293184,293184,293184,293184,293184,293184,296640,296640,293184,293184,293184,293184,293184,5293184
9,11303044,110087615,6322952,332353,330694,355026,368298,317975,39818528,0,22799726,308021,297514,294749,296961,299726,8809127,75592437,2830141,373828,457884,363321,322952,317975,305256,295855,296408,289219,281477,281477,281477,281477,284795,284795,281477,281477,281477,281477,281477,281477,284795,284795,281477,281477,281477,281477,281477,281477,284795,284795,281477,281477,281477,281477,281477,281477,284795,284795,281477,281477,281477,281477,281477,281477
10,297016,6297558,73084534,6325742,324116,347964,360972,311650,312192,22799726,0,22801894,291596,288886,291054,293764,302978,2811108,29082577,2866392,448776,356094,316528,311650,299184,289970,290512,283466,275878,275878,275878,275878,279130,279130,275878,275878,275878,275878,275878,275878,279130,279130,275878,275878,275878,275878,275878,275878,279130,279130,275878,275878,275878,275878,275878,275878,279130,279130,275878,275878,275878,275878,275878,275878
11,305236,305793,6325288,73102763,6333086,357594,370962,320275,320832,308021,22801894,0,22799666,296881,299109,301894,311363,319718,2832529,29135535,2961196,365949,325288,320275,307464,297995,298552,291311,283513,283513,283513,283513,286855,286855,283513,283513,283513,283513,283513,283513,286855,286855,283513,283513,283513,283513,283513,283513,286855,286855,283513,283513,283513,283513,283513,283513,286855,286855,283513,283513,283513,283513,283513,283513
12,294824,295362,314192,6323338,73089730,6345396,358308,309350,309888,297514,291596,22799666,0,22786754,288906,291596,300742,308812,321186,2863688,29204467,2853466,314192,309350,296976,287830,288368,281374,273842,273842,273842,273842,277070,277070,273842,273842,273842,273842,273842,273842,277070,277070,273842,273842,273842,273842,273842,273842,277070,277070,273842,273842,273842,273842,273842,273842,277070,277070,273842,273842,273842,273842,273842,273842
13,292084,292617,311272,320333,6318734,73110192,6354978,306475,307008,294749,288886,296881,22786754,0,22786221,288886,297947,305942,318201,360308,2941324,29109184,2811272,306475,294216,285155,285688,278759,271297,271297,271297,271297,274495,274495,271297,271297,271297,271297,271297,271297,274495,274495,271297,271297,271297,271297,271297,271297,274495,274495,271297,271297,271297,271297,271297,271297,274495,274495,271297,271297,271297,271297,271297,271297
14,294276,294813,313608,322737,321126,6344754,73125648,6308775,309312,296961,291054,299109,288906,22786221,0,22791054,300183,308238,320589,363012,444636,2852809,29072611,2808775,296424,287295,287832,280851,273333,273333,273333,273333,276555,276555,273333,273333,273333,273333,273333,273333,276555,276555,273333,273333,273333,273333,273333,273333,276555,276555,273333,273333,273333,273333,273333,273333,276555,276555,273333,273333,273333,273333,273333,273333
15,297016,297558,316528,325742,324116,347964,6360972,73079656,6312192,299726,293764,301894,291596,288886,22791054,0,22802978,311108,323574,366392,448776,356094,2816528,29070653,2799184,289970,290512,283466,275878,275878,275878,275878,279130,279130,275878,275878,275878,275878,275878,275878,279130,279130,275878,275878,275878,275878,275878,275878,279130,279130,275878,275878,275878,275878,275878,275878,279130,279130,275878,275878,275878,275878,275878,275878
