mapper, machine, page size, percent accesses, num threads, cost
mod_mapper, asym_0, 20, 0.1, 64, 5668416
mod_mapper, asym_max, 20, 0.1, 64, 5712070
random_mapper 0, asym_0, 20, 0.1, 64, 5618160
random_mapper 1, asym_0, 20, 0.1, 64, 5416296
random_mapper 2, asym_0, 20, 0.1, 64, 5672808
random_mapper 3, asym_0, 20, 0.1, 64, 5552640
random_mapper 4, asym_0, 20, 0.1, 64, 5488968
random_mapper 5, asym_0, 20, 0.1, 64, 5651856
random_mapper 6, asym_0, 20, 0.1, 64, 5633496
random_mapper 7, asym_0, 20, 0.1, 64, 5525088
random_mapper 8, asym_0, 20, 0.1, 64, 5579232
random_mapper 9, asym_0, 20, 0.1, 64, 5522952
random_mapper 10, asym_0, 20, 0.1, 64, 5372424
random_mapper 11, asym_0, 20, 0.1, 64, 5599128
random_mapper 12, asym_0, 20, 0.1, 64, 5494992
random_mapper 13, asym_0, 20, 0.1, 64, 5557848
random_mapper 14, asym_0, 20, 0.1, 64, 5550360
random_mapper 15, asym_0, 20, 0.1, 64, 5522304
random_mapper 16, asym_0, 20, 0.1, 64, 5334312
random_mapper 17, asym_0, 20, 0.1, 64, 5486136
random_mapper 0, asym_1, 20, 0.1, 64, 5558494
random_mapper 1, asym_1, 20, 0.1, 64, 5359980
random_mapper 2, asym_1, 20, 0.1, 64, 5625448
random_mapper 3, asym_1, 20, 0.1, 64, 5489803
random_mapper 4, asym_1, 20, 0.1, 64, 5461389
random_mapper 5, asym_1, 20, 0.1, 64, 5609166
random_mapper 6, asym_1, 20, 0.1, 64, 5629985
random_mapper 7, asym_1, 20, 0.1, 64, 5496026
random_mapper 8, asym_1, 20, 0.1, 64, 5545162
random_mapper 9, asym_1, 20, 0.1, 64, 5467108
random_mapper 10, asym_1, 20, 0.1, 64, 5308981
random_mapper 11, asym_1, 20, 0.1, 64, 5563103
random_mapper 12, asym_1, 20, 0.1, 64, 5509297
random_mapper 13, asym_1, 20, 0.1, 64, 5509568
random_mapper 14, asym_1, 20, 0.1, 64, 5506027
random_mapper 15, asym_1, 20, 0.1, 64, 5490084
random_mapper 16, asym_1, 20, 0.1, 64, 5247213
random_mapper 17, asym_1, 20, 0.1, 64, 5431582
random_mapper 0, asym_2, 20, 0.1, 64, 5606254
random_mapper 1, asym_2, 20, 0.1, 64, 5406256
random_mapper 2, asym_2, 20, 0.1, 64, 5686915
random_mapper 3, asym_2, 20, 0.1, 64, 5537680
random_mapper 4, asym_2, 20, 0.1, 64, 5540642
random_mapper 5, asym_2, 20, 0.1, 64, 5681121
random_mapper 6, asym_2, 20, 0.1, 64, 5739272
random_mapper 7, asym_2, 20, 0.1, 64, 5581732
random_mapper 8, asym_2, 20, 0.1, 64, 5632247
random_mapper 9, asym_2, 20, 0.1, 64, 5516224
random_mapper 10, asym_2, 20, 0.1, 64, 5353283
random_mapper 11, asym_2, 20, 0.1, 64, 5635046
random_mapper 12, asym_2, 20, 0.1, 64, 5630964
random_mapper 13, asym_2, 20, 0.1, 64, 5574686
random_mapper 14, asym_2, 20, 0.1, 64, 5577741
random_mapper 15, asym_2, 20, 0.1, 64, 5565257
random_mapper 16, asym_2, 20, 0.1, 64, 5271827
random_mapper 17, asym_2, 20, 0.1, 64, 5480063
random_mapper 0, asym_3, 20, 0.1, 64, 5636182
random_mapper 1, asym_3, 20, 0.1, 64, 5438745
random_mapper 2, asym_3, 20, 0.1, 64, 5732047
random_mapper 3, asym_3, 20, 0.1, 64, 5563720
